Unnamed: 0,Verduras HBE,Precio Verduras HBE,Verduras Soriana,Precio Verduras Soriana,Verduras Chedraui,Precio Verduras Chedraui,Verduras LaComer,Precio Verduras LaComer
,Tomate Huaje Supremo 1 Kg,18.5,Chile Soriana Ancho Bol 100Gr,27.9,Alcachofa Microwave 59g,144.9,Jitomate Saladet,6.9
,Aguacate Supremo 1 Kg,51.0,Chile Soriana Chipotle Bol 100Gr,49.9,Esparrago Verde 454g,78.5,Aguacate Hass,33.9
,Papa Blanca 1 Kg,41.0,Chile Soriana Pasilla 100 Gr,24.8,Cebolla Amarillapor kg,29.9,Cebolla Blanca,11.9
,Cebolla Bca Limpia 1 Kg,17.5,Jitomate  Huaje/Saladette,5.8,Tomate Cherry Glorys NatureSweet 283g,37.9,Calabaza Italiana,12.9
,Limon Agrio Supremo 1 Kg,38.0,Poro,21.9,Jitomate Hidrocool Cherry 380g,32.9,Zanahoria,13.9
,Nopal Limpio 1 Kg,31.0,Papa Blanca Kg,34.9,Tomate Uva Cherubs NatureSweet 283g,37.9,Papa Blanca,38.9
,Cilantro Manojo,7.0,Cebolla Blanca Kg,12.8,Cebolla Perla Roja 10 283.4g,57.0,Pepino,19.5
,Zanahoria 1 Kg,15.0,Aguacate Kg,39.8,Cebolla Perla Blanca 283.4g,57.0,Tomate Verde Sin Cascara,17.5
,Calabacita 1 Kg,24.0,Zanahoria Kg,12.8,Cebolla Perla Dorada 283.4g,57.0,Chayote Sin Espinas,15.9
,Elote Blanco,7.0,Verdolaga Manojo,12.9,Tomate Verde por kg,19.9,Chile Serrano,19.5
,Pepino Fresco 1 Kg,20.5,Apio Kg,19.8,CebollínPieza,9.0,Ejote Verde,32.8
,Espinaca Manojo,7.0,Cilantro Manojo,5.8,Cebolla de Cambray por Pieza,9.9,Chile Poblano,23.9
,Lechuga Romana,16.0,Calabaza Italiana/Criolla Kg,19.8,Cebolla de Rabo por kg,32.0,Pimiento Verde,27.9
,Limon S/Semilla 1 Kg,20.5,Berro Manojo,12.9,Tomatillo por kg,43.8,Pimiento Rojo,75.9
,Tomate Bola Supremo 1 Kg,17.5,Camote Morado 1 Kg,49.9,Aguacate Hass Enmallado pz,26.9,Cebolla Morada,41.8
,Brocoli Coronas 1 Kg,33.9,Pepino Verde Kg,14.8,Cebolla Morada por kg,29.9,Jengibre,126.9
,Lechuga Orejona,17.5,Aguacate Campo Vivo,87.0,Tomate Saladet por kg,5.5,Ajo Morado,158.0
,Chayote Sin Espinas 1 Kg,36.0,Esparrago Verde Mjo,99.0,Aguacate Chiapas por Kg,39.9,Jitomate Bola,9.9
,Tomatillo Limpio Season Select,17.5,Chile Caribe Kg,29.9,Papa Blanca  por kg,36.9,Betabel,14.9
,Papa Blanca Chica 1 Kg,36.0,Chile Tajin Ancho 75Gr,30.9,Papa Cambray por kg,32.9,Papa Cambray,36.6
,Coliflor Blanca Pza,36.0,Lechuga Romana,9.8,Aguacate Hass por Kg,19.5,Elote Blanco,9.7
,Cebolla Cambray,10.0,Chile Serrano Kg,19.8,Tomates Constellation NatureSweet 467g,69.9,Pimiento Amarillo,84.9
,Acelga Verde,7.0,Chile Tajin Pasilla 75Gr,31.9,Cebolla Blanca por kg,13.5,Berenjena,31.0
,Seasons Select Aguacate Malla,38.0,Brócoli 1 Pz Kg.,29.9,Tomate Bolapor kg,14.9,Tomate Verde Con Cascara,18.9
,Tomate Fresadilla 1 Kg,15.0,Champiñon San Miguel Blanco Char 225 Gr,28.8,Coliflor Naranja 750g,99.0,Poro,40.7
,Champinon Bco Reb De 225,23.0,Champiñon San Miguel Seleccionado 225 Gr,27.8,Santa MaríaPieza,8.82,Chile Cuaresmeño,20.9
,Chile Poblano 1 Kg,31.0,Espinaca Mr Lucky Popeye,47.8,Pakchoypor Kg,55.5,Pimiento Naranja,84.9
,Apio 1 Kg,20.5,Champiñon Monte Bco Cha 225Gr,28.9,Chalot Granel Kg,141.0,Camote Amarillo Nacional,74.6
,Pimiento Semaforo C/3,46.0,Espinaca Baby Vegetalistos 250Gr,46.8,Bouquet Hierbas Finas frescas Tiempo de Cosecha 50g,22.9,Chile Verde De Arbol,82.1
,Limon Amarillo ( Variedad Eureka) 1 Kg,62.0,Lechuga Eva Mini Romaine Bol 2Pz,32.9,Alfalfa fresca Tiempo de Cosecha 50g,22.9,Chile Habanero,62.7
,Mini Floretes De Brocoli,20.5,Champiñon Crimini Entero 225Gr,28.8,Estragón fresco Tiempo de Cosecha 50g,22.9,Pepino Criollo,5.5
,Perejil Liso,13.5,Soya Germinada Granel Kg,39.8,Bouquet Garni frescas Tiempo de Cosecha 50g,22.9,Chicharo,41.8
,Tomatillo Limpio 1 Kg,19.5,Lechuga Eva Boston Hidroponico Char,28.9,Bouquet Provence fresco Tiempo de Cosecha 50g,22.9,Cebolla De Rabo,32.2
,Chile Serrano 1 Kg,19.5,Ensalada Eva Francesa Corazon,31.9,Té de Limón Manojo por Pieza,5.2,Cremini Rebanado,25.9
,Aguacatito En Malla,26.0,Corazon Lechuga 3 Pack Vf,29.8,Ruda Pieza,4.4,Jitomate Cherry,30.3
,Esparrago 1Lb 1 Lb,72.0,Zanahoria Baby Vegetalistos 150Gr,14.8,HinojoPieza,8.5,Calabaza Criolla,33.6
,Cebolla Morada 1 Kg,39.0,Zanahoria Rallada Vegetalistos 340 Gr,23.8,Col ChinaPieza,61.3,Papa Amarilla Chica,34.8
,Repollo Verde 1 Kg,14.0,Zanahoria Rallada Vegetalistos 100Gr,14.8,Árnica Infusiónate 40g,19.9,Pepino Europeo,30.3
,Chile Jalapeño 1 Kg,15.0,Arúgula Vegetalistos 120Gr,34.8,Chícharo Fresh Garden Chino 365g,45.9,Tomatillo Milpero,37.3
,S S Limon Agrio En Malla 1.5 Kg,54.5,Jícama Vegetalistos 454 Gr,32.8,Boldo Infusiónate 60g,26.9,Elote Blanco Entero Limpio,22.4
,Pimiento Verde 1 Kg,62.0,Ensalada Súper Food Vegetalistos 200Gr,36.8,Menta Infusiónate 45g,19.9,Portabella Entero,63.6
,Champinon Bco Entero De 225 Gr,23.0,Corazon Lechuga 2 Pack Vf,19.8,Coliflor Verde 750g,99.0,Elote Blanco En Trozos,22.4
,Lechuga Morada (Sangria) Nal,13.0,Ensalada Mr Lucky Festival Clas 312Gr,34.8,GordoloboPieza,8.82,Tomatoes Cherubs,41.9
,Ajo Seasons Select Ajo 4Pzas,46.0,Ensalada Mr Lucky Francesa,29.8,Col Morada por kg,39.0,Ajo Shallot,39.8
,Betabel Rebotado 1 Kg,28.0,Corazon De Lechuga Garden Fresh 4 Pieza Bolsa,34.9,Flor de Calabazapor kg,102.0,Zanahoria Cambray,22.8
,Ajo En Malla,44.0,Champiñon Crimini Rebanado 225 Gr,28.8,Verdolaga por kg,24.5,Cebolla Amarilla,27.6
,Ejote Verde 1 Kg,51.0,Kale Vegatalistos 150Gr,32.8,Col Bruselas por kg,60.0,Chayote Con Espinas,37.3
,Palitos De Apio Heb 400 Gr,29.0,Champiñon Crimini Rebanado 250 Gr,29.8,Raíz de Azafrán por kg,39.3,Tomatoes Glorys,41.9
,Lechuga Italiana Nal,15.0,Guarnición De Verduras La Huerta 500 Gr,26.25,Jengibrepor kg,118.0,Pepino Europeo,14.4
,Floretes Brocoli En Bolsa 1Lb 454 Gr,23.0,Elote En Grano La Huerta 500 Gr,52.0,Colinabo Rollo,19.33,Chalot,164.2
,Champinon Bco Reb De 225 Gr,24.0,Papas A La Francesa Valley Farms Delgadas 1 Kg,60.25,Poro Pieza,19.8,Haba Verde,52.2
,Lechuga Hidroponica Francesa,31.0,Floretes De Brócoli Congelado Soriana En 500 G,30.0,Rábano Cambray Pieza,10.6,Ajo Italiano,201.5
,Ensalada Lechuga Hidroponica Italiana,31.0,Fresa Congelada Valley Foods,48.5,Hoja Santa Rollo,12.0,Camote Achicalado,87.0
,Champinon Cremini Reb De 225 Gr,23.0,Papa Grd A Cort Rizado 750G Valley Foods,46.0,Huazontle Rollo,19.0,Chile Cristal,59.7
,Tomate Cherubs 283 Gr,44.0,Verduras Congeladas Mezcla California La Huerta 500 Gr,31.75,Manzanilla Rollo,11.6,Papa Criolla,25.8
,Cebolla Amarilla 1 Kg,28.0,Frutos Del Huerto La Huerta 500 Gr,26.5,Hierbas de OlorPieza,9.5,Chile Manzano,77.6
,Camote Amarillo 1 Kg,48.0,Guarnicion Verduras Precissimo Bol 500Gr,18.9,Hierba Buena Rollo,7.9,Camote Blanco Nacional,74.6
,Vegetalistos Zanahoria Baby 340 Gr,23.0,Verdura Congelada Soriana Mezcla Campesina 500 G,29.5,Berros Rollo,15.0,Chicharo Limpio,104.9
,Champinon Cremini De 225 Gr,23.0,Papas A La Francesa Valley Farms Onduladas 500 G,49.5,Espinacas Rollo,5.5,Chayote Cambray,37.3
,Tomate D Glory 283 Gr,44.0,Chícharo La Huerta 500 Gr,58.5,Perejil Chino Rollo,13.0,Chicharo Chino,37.1
